# Cron vectors derived from Cronos's CronExpressionFacts test suite
# source-class: third-party-comparison (implementation test suite, not an authority)
# source: Cronos -- https://github.com/HangfireIO/Cronos -- tests/Cronos.Tests/CronExpressionFacts.cs
# acquired: 2026-08-05 (delivered user-side; host unreachable from the build env)
# facts-sha256: 2d27080589fc183a1f647468b24053587713e3af52dd346640d98adde1e60bb5
# licence: Cronos is MIT (Copyright (c) 2017 Hangfire OU). Deriving this table and redistributing it
#          with attribution is permitted; the upstream file itself is not committed.
# note: Cronos implements Quartz-flavoured cron. Where it deliberately differs from Vixie, the row is
#       flagged and excluded rather than reconciled -- see corpus/recurrence/README.md.
# flags: quartz-ext        = uses the Quartz L / W / # / ? tokens (Bodu rejects them; planned follow-on)
#        hash              = uses the H jitter token (a Jenkins extension Bodu does not model)
#        cronos-macro      = @every_second / @every_minute, macros Cronos adds beyond crontab(5)
#        wrap-range        = a reversed range such as 55-5 (Cronos wraps; Bodu rejects)
#        oversized-step    = a step wider than its range, e.g. */60 (Cronos throws; cronie warns and
#                            keeps the range start, which is what Bodu does)
#        dom-dow-intersect = both day fields restricted (Cronos intersects; Vixie and Bodu union)
#        seconds-elision   = Cronos drops a zero seconds field from ToString; Bodu renders every field
#        dst               = the row sits within a day of a US Eastern DST transition, where a
#                            zone-free reading of the Cronos fixture is not offset-invariant
name,kind,format,expression,from,expected,flags
next-015,next,withSeconds,10/5 * * * * *,2016-12-09T17:35:00,2016-12-09T17:35:10,
next-016,next,withSeconds,10/5 * * * * *,2016-12-09T17:35:12,2016-12-09T17:35:15,
next-017,next,withSeconds,10/5 * * * * *,2016-12-09T17:35:59,2016-12-09T17:36:10,
next-018,next,withSeconds,0 * * * * *,2016-12-09T17:35:59,2016-12-09T17:36:00,
next-019,next,withSeconds,0 * * * * *,2016-12-09T17:59:59,2016-12-09T18:00:00,
next-020,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:01,2016-12-09T17:35:05,
next-021,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:06,2016-12-09T17:35:06,
next-022,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:18,2016-12-09T17:35:19,
next-023,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:19,2016-12-09T17:35:19,
next-024,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:20,2016-12-09T17:35:20,
next-025,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:21,2016-12-09T17:35:35,
next-026,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:36,2016-12-09T17:35:36,
next-027,next,withSeconds,"5-8,19,20,35-41 * * * * *",2016-12-09T17:35:42,2016-12-09T17:36:05,
next-028,next,withSeconds,55-5 * * * * ?,2016-12-09T17:35:42,2016-12-09T17:35:55,quartz-ext wrap-range
next-029,next,withSeconds,55-5 * * * * ?,2016-12-09T17:35:57,2016-12-09T17:35:57,quartz-ext wrap-range
next-030,next,withSeconds,55-5 * * * * ?,2016-12-09T17:35:59,2016-12-09T17:35:59,quartz-ext wrap-range
next-031,next,withSeconds,55-5 * * * * ?,2016-12-09T17:36:00,2016-12-09T17:36:00,quartz-ext wrap-range
next-032,next,withSeconds,55-5 * * * * ?,2016-12-09T17:36:05,2016-12-09T17:36:05,quartz-ext wrap-range
next-033,next,withSeconds,55-5 * * * * ?,2016-12-09T17:36:06,2016-12-09T17:36:55,quartz-ext wrap-range
next-034,next,withSeconds,57-5/3 * * * * ?,2016-12-09T17:36:06,2016-12-09T17:36:57,quartz-ext wrap-range oversized-step
next-035,next,withSeconds,57-5/3 * * * * ?,2016-12-09T17:36:58,2016-12-09T17:37:00,quartz-ext wrap-range oversized-step
next-036,next,withSeconds,57-5/3 * * * * ?,2016-12-09T17:37:01,2016-12-09T17:37:03,quartz-ext wrap-range oversized-step
next-037,next,withSeconds,57-5/3 * * * * ?,2016-12-09T17:37:04,2016-12-09T17:37:57,quartz-ext wrap-range oversized-step
next-038,next,withSeconds,59-58 * * * * ?,2016-12-09T17:37:04,2016-12-09T17:37:04,quartz-ext wrap-range
next-039,next,withSeconds,59-58 * * * * ?,2016-12-09T17:37:58,2016-12-09T17:37:58,quartz-ext wrap-range
next-040,next,withSeconds,59-58 * * * * ?,2016-12-09T17:37:59,2016-12-09T17:37:59,quartz-ext wrap-range
next-041,next,withSeconds,59-58 * * * * ?,2016-12-09T17:38:00,2016-12-09T17:38:00,quartz-ext wrap-range
next-042,next,withSeconds,* 12 * * * *,2016-12-09T15:05:00,2016-12-09T15:12:00,
next-043,next,withSeconds,* 12 * * * *,2016-12-09T15:12:00,2016-12-09T15:12:00,
next-044,next,withSeconds,* 12 * * * *,2016-12-09T15:59:00,2016-12-09T16:12:00,
next-045,next,withSeconds,* 31-39 * * * *,2016-12-09T15:00:00,2016-12-09T15:31:00,
next-046,next,withSeconds,* 31-39 * * * *,2016-12-09T15:30:00,2016-12-09T15:31:00,
next-047,next,withSeconds,* 31-39 * * * *,2016-12-09T15:31:00,2016-12-09T15:31:00,
next-048,next,withSeconds,* 31-39 * * * *,2016-12-09T15:39:00,2016-12-09T15:39:00,
next-049,next,withSeconds,* 31-39 * * * *,2016-12-09T15:59:00,2016-12-09T16:31:00,
next-050,next,withSeconds,* */20 * * * *,2016-12-09T15:00:00,2016-12-09T15:00:00,
next-051,next,withSeconds,* */20 * * * *,2016-12-09T15:10:00,2016-12-09T15:20:00,
next-052,next,withSeconds,* */20 * * * *,2016-12-09T15:59:00,2016-12-09T16:00:00,
next-053,next,withSeconds,* 10/5 * * * *,2016-12-09T15:00:00,2016-12-09T15:10:00,
next-054,next,withSeconds,* 10/5 * * * *,2016-12-09T15:14:00,2016-12-09T15:15:00,
next-055,next,withSeconds,* 10/5 * * * *,2016-12-09T15:59:00,2016-12-09T16:10:00,
next-056,next,withSeconds,* 0 * * * *,2016-12-09T15:59:00,2016-12-09T16:00:00,
next-057,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:01:00,2016-12-09T15:05:00,
next-058,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:06:00,2016-12-09T15:06:00,
next-059,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:18:00,2016-12-09T15:19:00,
next-060,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:19:00,2016-12-09T15:19:00,
next-061,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:20:00,2016-12-09T15:20:00,
next-062,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:21:00,2016-12-09T15:35:00,
next-063,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:36:00,2016-12-09T15:36:00,
next-064,next,withSeconds,"* 5-8,19,20,35-41 * * * *",2016-12-09T15:42:00,2016-12-09T16:05:00,
next-065,next,withSeconds,* 51-4 * * * *,2016-12-09T17:35:00,2016-12-09T17:51:00,wrap-range
next-066,next,withSeconds,* 51-4 * * * *,2016-12-09T17:51:00,2016-12-09T17:51:00,wrap-range
next-067,next,withSeconds,* 51-4 * * * *,2016-12-09T17:55:00,2016-12-09T17:55:00,wrap-range
next-068,next,withSeconds,* 51-4 * * * *,2016-12-09T17:59:00,2016-12-09T17:59:00,wrap-range
next-069,next,withSeconds,* 51-4 * * * *,2016-12-09T18:00:00,2016-12-09T18:00:00,wrap-range
next-070,next,withSeconds,* 51-4 * * * *,2016-12-09T18:04:00,2016-12-09T18:04:00,wrap-range
next-071,next,withSeconds,* 51-4 * * * *,2016-12-09T18:05:00,2016-12-09T18:51:00,wrap-range
next-072,next,withSeconds,* 56-4/4 * * * *,2016-12-09T17:55:00,2016-12-09T17:56:00,wrap-range oversized-step
next-073,next,withSeconds,* 56-4/4 * * * *,2016-12-09T17:57:00,2016-12-09T18:00:00,wrap-range oversized-step
next-074,next,withSeconds,* 56-4/4 * * * *,2016-12-09T18:01:00,2016-12-09T18:04:00,wrap-range oversized-step
next-075,next,withSeconds,* 56-4/4 * * * *,2016-12-09T18:05:00,2016-12-09T18:56:00,wrap-range oversized-step
next-076,next,withSeconds,* 45-44 * * * *,2016-12-09T18:45:00,2016-12-09T18:45:00,wrap-range
next-077,next,withSeconds,* 45-44 * * * *,2016-12-09T18:55:00,2016-12-09T18:55:00,wrap-range
next-078,next,withSeconds,* 45-44 * * * *,2016-12-09T18:59:00,2016-12-09T18:59:00,wrap-range
next-079,next,withSeconds,* 45-44 * * * *,2016-12-09T19:00:00,2016-12-09T19:00:00,wrap-range
next-080,next,withSeconds,* 45-44 * * * *,2016-12-09T19:44:00,2016-12-09T19:44:00,wrap-range
next-081,next,withSeconds,* * 11 * * *,2016-12-09T10:59:00,2016-12-09T11:00:00,
next-082,next,withSeconds,* * 11 * * *,2016-12-09T11:30:00,2016-12-09T11:30:00,
next-083,next,withSeconds,* * 3-22 * * *,2016-12-09T01:40:00,2016-12-09T03:00:00,
next-084,next,withSeconds,* * 3-22 * * *,2016-12-09T11:40:00,2016-12-09T11:40:00,
next-085,next,withSeconds,* * */2 * * *,2016-12-09T00:00:00,2016-12-09T00:00:00,
next-086,next,withSeconds,* * */2 * * *,2016-12-09T01:00:00,2016-12-09T02:00:00,
next-087,next,withSeconds,* * 4/5 * * *,2016-12-09T00:45:00,2016-12-09T04:00:00,
next-088,next,withSeconds,* * 4/5 * * *,2016-12-09T04:14:00,2016-12-09T04:14:00,
next-089,next,withSeconds,* * 4/5 * * *,2016-12-09T05:00:00,2016-12-09T09:00:00,
next-090,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T01:55:00,2016-12-09T03:00:00,
next-091,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T04:55:00,2016-12-09T04:55:00,
next-092,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T06:10:00,2016-12-09T10:00:00,
next-093,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T10:55:00,2016-12-09T10:55:00,
next-094,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T11:25:00,2016-12-09T11:25:00,
next-095,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T12:30:00,2016-12-09T13:00:00,
next-096,next,withSeconds,"* * 3-5,10,11,13-17 * * *",2016-12-09T17:30:00,2016-12-09T17:30:00,
next-097,next,withSeconds,* * 23-3/2 * * *,2016-12-09T17:30:00,2016-12-09T23:00:00,wrap-range oversized-step
next-098,next,withSeconds,* * 23-3/2 * * *,2016-12-09T00:30:00,2016-12-09T01:00:00,wrap-range oversized-step
next-099,next,withSeconds,* * 23-3/2 * * *,2016-12-09T02:00:00,2016-12-09T03:00:00,wrap-range oversized-step
next-100,next,withSeconds,* * 23-3/2 * * *,2016-12-09T04:00:00,2016-12-09T23:00:00,wrap-range oversized-step
next-101,next,withSeconds,* * 23-22 * * *,2016-12-09T22:10:00,2016-12-09T22:10:00,wrap-range
next-102,next,withSeconds,* * 23-22 * * *,2016-12-09T23:10:00,2016-12-09T23:10:00,wrap-range
next-103,next,withSeconds,* * 23-22 * * *,2016-12-09T00:10:00,2016-12-09T00:10:00,wrap-range
next-104,next,withSeconds,* * 23-22 * * *,2016-12-09T07:10:00,2016-12-09T07:10:00,wrap-range
next-105,next,withSeconds,* * * 9 * *,2016-11-01T00:00:00,2016-11-09T00:00:00,
next-106,next,withSeconds,* * * 9 * *,2016-11-09T00:00:00,2016-11-09T00:00:00,
next-107,next,withSeconds,* * * 09 * *,2016-11-10T00:00:00,2016-12-09T00:00:00,
next-108,next,withSeconds,* * * */4 * *,2016-12-01T00:00:00,2016-12-01T00:00:00,
next-109,next,withSeconds,* * * */4 * *,2016-12-02T00:00:00,2016-12-05T00:00:00,
next-110,next,withSeconds,* * * */4 * *,2016-12-06T00:00:00,2016-12-09T00:00:00,
next-111,next,withSeconds,* * * */3 * *,2016-12-02T00:00:00,2016-12-04T00:00:00,
next-112,next,withSeconds,"* * * 10,20 * *",2016-12-09T00:00:00,2016-12-10T00:00:00,
next-113,next,withSeconds,"* * * 10,20 * *",2016-12-12T00:00:00,2016-12-20T00:00:00,
next-114,next,withSeconds,* * * 16-23 * *,2016-12-01T00:00:00,2016-12-16T00:00:00,
next-115,next,withSeconds,* * * 16-23 * *,2016-12-16T00:00:00,2016-12-16T00:00:00,
next-116,next,withSeconds,* * * 16-23 * *,2016-12-18T00:00:00,2016-12-18T00:00:00,
next-117,next,withSeconds,* * * 16-23 * *,2016-12-23T00:00:00,2016-12-23T00:00:00,
next-118,next,withSeconds,* * * 16-23 * *,2016-12-24T00:00:00,2017-01-16T00:00:00,
next-119,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-01T00:00:00,2016-12-05T00:00:00,
next-120,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-05T00:00:00,2016-12-05T00:00:00,
next-121,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-06T00:00:00,2016-12-06T00:00:00,
next-122,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-08T00:00:00,2016-12-08T00:00:00,
next-123,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-09T00:00:00,2016-12-19T00:00:00,
next-124,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-20T00:00:00,2016-12-20T00:00:00,
next-125,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-21T00:00:00,2016-12-28T00:00:00,
next-126,next,withSeconds,"* * * 5-8,19,20,28-29 * *",2016-12-30T00:00:00,2017-01-05T00:00:00,
next-127,next,withSeconds,"* * * 5-8,19,20,29-30 * *",2017-02-27T00:00:00,2017-03-05T00:00:00,
next-128,next,withSeconds,* * * 30-31 * *,2016-02-27T00:00:00,2016-03-30T00:00:00,
next-129,next,withSeconds,* * * 30-31 * *,2017-02-27T00:00:00,2017-03-30T00:00:00,
next-130,next,withSeconds,* * * 31 * *,2017-04-27T00:00:00,2017-05-31T00:00:00,
next-131,next,withSeconds,* * * 20-5/5 * *,2017-05-19T00:00:00,2017-05-20T00:00:00,wrap-range oversized-step
next-132,next,withSeconds,* * * 20-5/5 * *,2017-05-21T00:00:00,2017-05-25T00:00:00,wrap-range oversized-step
next-133,next,withSeconds,* * * 20-5/5 * *,2017-05-26T00:00:00,2017-05-30T00:00:00,wrap-range oversized-step
next-134,next,withSeconds,* * * 20-5/5 * *,2017-06-01T00:00:00,2017-06-04T00:00:00,wrap-range oversized-step
next-135,next,withSeconds,* * * 20-5/5 * *,2017-06-05T00:00:00,2017-06-20T00:00:00,wrap-range oversized-step
next-136,next,withSeconds,* * * 20-5/5 * *,2017-07-01T00:00:00,2017-07-04T00:00:00,wrap-range oversized-step
next-137,next,withSeconds,* * * 20-5/5 * *,2018-02-26T00:00:00,2018-03-04T00:00:00,wrap-range oversized-step
next-138,next,withSeconds,* * * * 11 *,2016-10-09T00:00:00,2016-11-01T00:00:00,
next-139,next,withSeconds,* * * * 11 *,2016-11-02T00:00:00,2016-11-02T00:00:00,
next-140,next,withSeconds,* * * * 11 *,2016-12-02T00:00:00,2017-11-01T00:00:00,
next-141,next,withSeconds,"* * * * 3,9 *",2016-01-09T00:00:00,2016-03-01T00:00:00,
next-142,next,withSeconds,"* * * * 3,9 *",2016-06-09T00:00:00,2016-09-01T00:00:00,
next-143,next,withSeconds,"* * * * 3,9 *",2016-10-09T00:00:00,2017-03-01T00:00:00,
next-144,next,withSeconds,* * * * 5-11 *,2016-01-01T00:00:00,2016-05-01T00:00:00,
next-145,next,withSeconds,* * * * 5-11 *,2016-05-07T00:00:00,2016-05-07T00:00:00,
next-146,next,withSeconds,* * * * 5-11 *,2016-07-12T00:00:00,2016-07-12T00:00:00,
next-147,next,withSeconds,* * * * 05-11 *,2016-12-13T00:00:00,2017-05-01T00:00:00,
next-148,next,withSeconds,* * * * DEC *,2016-08-09T00:00:00,2016-12-01T00:00:00,
next-149,next,withSeconds,* * * * mar-dec *,2016-02-09T00:00:00,2016-03-01T00:00:00,
next-150,next,withSeconds,* * * * mar-dec *,2016-04-09T00:00:00,2016-04-09T00:00:00,
next-151,next,withSeconds,* * * * mar-dec *,2016-12-09T00:00:00,2016-12-09T00:00:00,
next-152,next,withSeconds,* * * * */4 *,2016-01-09T00:00:00,2016-01-09T00:00:00,
next-153,next,withSeconds,* * * * */4 *,2016-02-09T00:00:00,2016-05-01T00:00:00,
next-154,next,withSeconds,* * * * */3 *,2016-12-09T00:00:00,2017-01-01T00:00:00,
next-155,next,withSeconds,* * * * */5 *,2016-12-09T00:00:00,2017-01-01T00:00:00,
next-156,next,withSeconds,* * * * APR-NOV *,2016-12-09T00:00:00,2017-04-01T00:00:00,
next-157,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-01-01T00:00:00,2016-02-01T00:00:00,
next-158,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-02-10T00:00:00,2016-02-10T00:00:00,
next-159,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-03-01T00:00:00,2016-03-01T00:00:00,
next-160,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-05-20T00:00:00,2016-06-01T00:00:00,
next-161,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-06-10T00:00:00,2016-06-10T00:00:00,
next-162,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-07-05T00:00:00,2016-07-05T00:00:00,
next-163,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-08-15T00:00:00,2016-09-01T00:00:00,
next-164,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-11-25T00:00:00,2016-11-25T00:00:00,
next-165,next,withSeconds,"* * * * 2-4,JUN,7,SEP-nov *",2016-12-01T00:00:00,2017-02-01T00:00:00,
next-166,next,withSeconds,* * * * 12-2 *,2016-05-19T00:00:00,2016-12-01T00:00:00,wrap-range
next-167,next,withSeconds,* * * * 12-2 *,2017-01-19T00:00:00,2017-01-19T00:00:00,wrap-range
next-168,next,withSeconds,* * * * 12-2 *,2017-02-19T00:00:00,2017-02-19T00:00:00,wrap-range
next-169,next,withSeconds,* * * * 12-2 *,2017-03-19T00:00:00,2017-12-01T00:00:00,wrap-range
next-170,next,withSeconds,* * * * 9-8/3 *,2016-07-19T00:00:00,2016-09-01T00:00:00,wrap-range oversized-step
next-171,next,withSeconds,* * * * 9-8/3 *,2016-10-19T00:00:00,2016-12-01T00:00:00,wrap-range oversized-step
next-172,next,withSeconds,* * * * 9-8/3 *,2017-01-19T00:00:00,2017-03-01T00:00:00,wrap-range oversized-step
next-173,next,withSeconds,* * * * 9-8/3 *,2017-04-19T00:00:00,2017-06-01T00:00:00,wrap-range oversized-step
next-174,next,withSeconds,* * * * * 5,2016-12-07T00:00:00,2016-12-09T00:00:00,
next-175,next,withSeconds,* * * * * 5,2016-12-09T00:00:00,2016-12-09T00:00:00,
next-176,next,withSeconds,* * * * * 05,2016-12-10T00:00:00,2016-12-16T00:00:00,
next-177,next,withSeconds,"* * * * * 3,5,7",2016-12-09T00:00:00,2016-12-09T00:00:00,
next-178,next,withSeconds,"* * * * * 3,5,7",2016-12-10T00:00:00,2016-12-11T00:00:00,
next-179,next,withSeconds,"* * * * * 3,5,7",2016-12-12T00:00:00,2016-12-14T00:00:00,
next-180,next,withSeconds,* * * * * 4-7,2016-12-08T00:00:00,2016-12-08T00:00:00,
next-181,next,withSeconds,* * * * * 4-7,2016-12-10T00:00:00,2016-12-10T00:00:00,
next-182,next,withSeconds,* * * * * 4-7,2016-12-11T00:00:00,2016-12-11T00:00:00,
next-183,next,withSeconds,* * * * * 4-07,2016-12-12T00:00:00,2016-12-15T00:00:00,
next-184,next,withSeconds,* * * * * FRI,2016-12-08T00:00:00,2016-12-09T00:00:00,
next-185,next,withSeconds,* * * * * tue/2,2016-12-09T00:00:00,2016-12-10T00:00:00,
next-186,next,withSeconds,* * * * * tue/2,2016-12-11T00:00:00,2016-12-13T00:00:00,
next-187,next,withSeconds,* * * * * FRI/3,2016-12-03T00:00:00,2016-12-09T00:00:00,oversized-step
next-188,next,withSeconds,* * * * * thu-sat,2016-12-04T00:00:00,2016-12-08T00:00:00,
next-189,next,withSeconds,* * * * * thu-sat,2016-12-09T00:00:00,2016-12-09T00:00:00,
next-190,next,withSeconds,* * * * * thu-sat,2016-12-10T00:00:00,2016-12-10T00:00:00,
next-191,next,withSeconds,* * * * * thu-sat,2016-12-12T00:00:00,2016-12-15T00:00:00,
next-192,next,withSeconds,* * * * * */5,2016-12-08T00:00:00,2016-12-09T00:00:00,
next-193,next,withSeconds,* * * * * */5,2016-12-10T00:00:00,2016-12-11T00:00:00,
next-194,next,withSeconds,* * * * * */5,2016-12-12T00:00:00,2016-12-16T00:00:00,
next-195,next,withSeconds,* * * ? * thu-sun,2016-12-09T00:00:00,2016-12-09T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-196,next,withSeconds,* * * ? * sat-tue,2016-12-10T00:00:00,2016-12-10T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-197,next,withSeconds,* * * ? * sat-tue,2016-12-11T00:00:00,2016-12-11T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-198,next,withSeconds,* * * ? * sat-tue,2016-12-12T00:00:00,2016-12-12T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-199,next,withSeconds,* * * ? * sat-tue,2016-12-13T00:00:00,2016-12-13T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-200,next,withSeconds,* * * ? * sat-tue,2016-12-14T00:00:00,2016-12-17T00:00:00,quartz-ext wrap-range dom-dow-intersect
next-201,next,withSeconds,* * * ? * sat-tue/2,2016-12-10T00:00:00,2016-12-10T00:00:00,quartz-ext wrap-range oversized-step dom-dow-intersect
next-202,next,withSeconds,* * * ? * sat-tue/2,2016-12-11T00:00:00,2016-12-12T00:00:00,quartz-ext wrap-range oversized-step dom-dow-intersect
next-203,next,withSeconds,* * * ? * sat-tue/2,2016-12-12T00:00:00,2016-12-12T00:00:00,quartz-ext wrap-range oversized-step dom-dow-intersect
next-204,next,withSeconds,* * * ? * sat-tue/2,2016-12-13T00:00:00,2016-12-17T00:00:00,quartz-ext wrap-range oversized-step dom-dow-intersect
next-205,next,withSeconds,00 00 00 11 12 0,2016-12-07T00:00:00,2016-12-11T00:00:00,dom-dow-intersect
next-206,next,withSeconds,00 00 00 11 12 7,2016-12-09T00:00:00,2016-12-11T00:00:00,dom-dow-intersect
next-207,next,withSeconds,00 00 00 11 12 SUN,2016-12-10T00:00:00,2016-12-11T00:00:00,dom-dow-intersect
next-208,next,withSeconds,00 00 00 11 12 sun,2016-12-09T00:00:00,2016-12-11T00:00:00,dom-dow-intersect
next-209,next,withSeconds,54 47 17 09 12 5,2016-10-01T00:00:00,2016-12-09T17:47:54,dom-dow-intersect
next-210,next,withSeconds,54 47 17 09 DEC FRI,2016-07-05T00:00:00,2016-12-09T17:47:54,dom-dow-intersect
next-211,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-01T00:00:00,2016-12-09T15:40:50,dom-dow-intersect
next-212,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-09T15:40:53,2016-12-09T15:40:53,dom-dow-intersect
next-213,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-09T15:40:57,2016-12-09T15:41:50,dom-dow-intersect
next-214,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-09T15:45:56,2016-12-09T15:45:56,dom-dow-intersect
next-215,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-09T15:51:56,2016-12-09T16:40:50,dom-dow-intersect
next-216,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-09T21:50:56,2016-12-10T15:40:50,dom-dow-intersect
next-217,next,withSeconds,"50-56 40-50 15-20 5-10 11,12 5,6,7",2016-12-11T21:50:56,2017-11-05T15:40:50,dom-dow-intersect dst
next-218,next,withSeconds,00 05 18 13 01 05,2016-01-01T00:00:00,2017-01-13T18:05:00,dom-dow-intersect
next-219,next,withSeconds,00 05 18 13 * 05,2016-01-01T00:00:00,2016-05-13T18:05:00,dom-dow-intersect
next-220,next,withSeconds,00 05 18 13 * 05,2016-09-01T00:00:00,2017-01-13T18:05:00,dom-dow-intersect
next-221,next,withSeconds,00 05 18 13 * 05,2017-02-01T00:00:00,2017-10-13T18:05:00,dom-dow-intersect
next-222,next,withSeconds,0 * * * * *,2017-01-14T12:58:59,2017-01-14T12:59:00,
next-223,next,withSeconds,0 0 * * * *,2017-01-14T12:59:00,2017-01-14T13:00:00,
next-224,next,withSeconds,0 0 0 * * *,2017-01-14T23:00:00,2017-01-15T00:00:00,
next-225,next,withSeconds,0 0 0 1 * *,2016-02-10T00:00:00,2016-03-01T00:00:00,
